cnpj,cd_cvm,denom,doc,dt_refer,versao,available_at,original_receb,restated,stmt,ni_source,moeda,ytd_months,ni_ytd,fy_start,ni_ttm,ttm_status,pit,first_seen_at
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2010-12-31,3,2011-04-30,2011-02-17,true,con,controladora,REAL,12,11296009000,2010-01-01,11296009000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2011-03-31,1,2011-05-10,2011-05-10,false,ind,total,REAL,3,2932363000,2011-01-01,11822580000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2011-06-30,1,2011-08-09,2011-08-09,false,ind,total,REAL,6,6262367000,2011-01-01,12427192000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2011-09-30,1,2011-11-03,2011-11-03,false,ind,total,REAL,9,9153653000,2011-01-01,12693715000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2011-12-31,4,2012-04-09,2012-02-14,true,con,controladora,REAL,12,12681922000,2011-01-01,12681922000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2012-03-31,1,2012-05-03,2012-05-03,false,ind,total,REAL,3,2554434000,2012-01-01,12303993000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2012-06-30,2,2012-08-14,2012-08-14,true,ind,total,REAL,6,5555940000,2012-01-01,11975495000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2012-09-30,1,2012-11-08,2012-11-08,false,ind,total,REAL,9,8360467000,2012-01-01,11888736000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2012-12-31,4,2013-03-25,2013-02-21,true,con,controladora,REAL,12,11245922000,2012-01-01,11245922000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2013-03-31,1,2013-05-15,2013-05-15,false,ind,total,REAL,3,2583016000,2013-01-01,11274504000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2013-06-30,1,2013-08-13,2013-08-13,false,ind,total,REAL,6,10033321000,2013-01-01,15723303000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2013-09-30,1,2013-11-12,2013-11-12,false,ind,total,REAL,9,12718352000,2013-01-01,15603807000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2013-12-31,4,2014-09-25,2014-02-13,true,con,controladora,REAL,12,10438066000,2013-01-01,10438066000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2014-03-31,1,2014-09-25,2014-05-07,false,ind,total,REAL,3,2774858000,2014-01-01,10629908000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2014-06-30,1,2014-09-25,2014-08-14,false,ind,total,REAL,6,5565190000,2014-01-01,5969935000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2014-09-30,1,2014-11-05,2014-11-05,false,ind,total,REAL,9,8308007000,2014-01-01,6027721000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2014-12-31,2,2015-03-27,2015-02-11,true,con,controladora,REAL,12,11853096000,2014-01-01,11853096000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2015-03-31,1,2015-05-14,2015-05-14,false,ind,total,REAL,3,5675916000,2015-01-01,14754154000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2015-06-30,1,2015-08-13,2015-08-13,false,ind,total,REAL,6,8606461000,2015-01-01,14894367000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2015-09-30,1,2015-11-12,2015-11-12,false,ind,total,REAL,9,11621215000,2015-01-01,15186975000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2015-12-31,3,2016-06-02,2016-02-25,true,con,controladora,REAL,12,14069582000,2015-01-01,14069582000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2016-03-31,1,2016-06-02,2016-05-12,false,ind,total,REAL,3,2310401000,2016-01-01,10704067000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2016-06-30,1,2016-08-11,2016-08-11,false,ind,total,REAL,6,4751915000,2016-01-01,10215036000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2016-09-30,1,2016-11-10,2016-11-10,false,ind,total,REAL,9,6971156000,2016-01-01,9419523000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2016-12-31,3,2017-03-24,2017-02-16,true,con,controladora,REAL,12,7027281000,2016-01-01,7027281000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2017-03-31,1,2017-05-11,2017-05-11,false,ind,total,REAL,3,2393193000,2017-01-01,7110073000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2017-06-30,1,2017-08-10,2017-08-10,false,ind,total,REAL,6,5017709000,2017-01-01,7293075000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2017-09-30,1,2017-11-09,2017-11-09,false,ind,total,REAL,9,7828873000,2017-01-01,7884998000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2017-12-31,2,2018-03-23,2018-02-22,true,con,controladora,REAL,12,10628794000,2017-01-01,10628794000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2018-03-31,1,2018-05-10,2018-05-10,false,ind,total,REAL,3,2726885000,2018-01-01,10962486000,ok,backfill,2026-09-21T21:38:17.660Z
