cnpj,denom,doc,dt_refer,versao,available_at,on_out,pn_out,total_out,pit,first_seen_at
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2020-03-31,1,2020-05-07,2852168480,0,2852168480,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2020-06-30,1,2020-08-06,2852169917,0,2852169917,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2020-09-30,1,2020-11-05,2853238886,0,2853238886,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,DFP,2020-12-31,2,2021-03-29,2853241685,0,2853241685,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2021-03-31,1,2021-05-06,2853441959,0,2853441959,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2021-06-30,1,2021-08-04,2853399401,0,2853399401,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2021-09-30,1,2021-11-08,2853399401,0,2853399401,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,DFP,2021-12-31,2,2022-03-24,2853442384,0,2853442384,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2022-03-31,1,2022-05-11,2853586645,0,2853586645,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2022-06-30,1,2022-08-10,2853636259,0,2853636259,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2022-09-30,1,2022-11-09,2853636259,0,2853636259,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,DFP,2022-12-31,1,2023-02-13,2853636259,0,2853636259,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2023-03-31,1,2023-05-15,2853826290,0,2853826290,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2023-06-30,1,2023-08-09,2853826290,0,2853826290,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,BCO BRASIL S.A.,ITR,2023-09-30,1,2023-11-08,2853826290,0,2853826290,backfill,2026-09-21T21:38:17.660Z
