data_ref,segmento,fluxo_liquido_brl,tipo_investidor,status
2025-01-31,acoes,6824300000,estrangeiro,t2_official
2025-02-28,acoes,699300000,estrangeiro,t2_official
2025-03-31,acoes,3462800000,estrangeiro,t2_official
2025-04-30,acoes,-133600000,estrangeiro,t2_official
2025-05-31,acoes,10662200000,estrangeiro,t2_official
2025-06-30,acoes,5389700000,estrangeiro,t2_official
2025-07-31,acoes,-6267700000,estrangeiro,t2_official
2025-08-31,acoes,1168300000,estrangeiro,t2_official
2025-09-30,acoes,5267100000,estrangeiro,t2_official
2025-10-31,acoes,-1132000000,estrangeiro,t2_official
2025-11-30,acoes,2550100000,estrangeiro,t2_official
2025-12-31,acoes,-1620100000,estrangeiro,t2_official
2026-01-31,acoes,26471300000,estrangeiro,t2_official
2026-02-28,acoes,15395700000,estrangeiro,t2_official
2026-03-31,acoes,11964300000,estrangeiro,t2_official
2026-04-30,acoes,3221600000,estrangeiro,t2_official
2026-05-31,acoes,-13274900000,estrangeiro,t2_official
2026-06-30,acoes,-7047300000,estrangeiro,t2_official
2026-07-31,acoes,4311500000,estrangeiro,t2_official
2026-08-31,acoes,-18116800000,estrangeiro,t2_official
2026-09-02,acoes,2201300000,estrangeiro,t2_official
