id,pais,gestao,n,ini,fim,data_quality,juro_ini,juro_fim,juro_var,infl_ini,infl_fim,infl_var,jr_ini,jr_fim,pib_ini,pib_fim,cam_ini,cam_fim,cam_var,bol_ini,bol_fim,bol_var,cred_ini,cred_fim,cred_var,des_ini,des_fim,regime_juro,regime_inflacao,regime_credito,regime_cambial,fase_ciclo,notas
BR-1974-GEISEL,BR,Geisel,1,1974-03-15,1979-03-15,hiperinflacao,,,,,,,,,8.15393868457201,4.96989768924738,,,,,,,,,,,,?/estável,,,,desaceleração,série hiperinflacao: números nominais não comparáveis | bolsa sem dado (histórico curto/candidato)
BR-1979-FIGUEIREDO,BR,Figueiredo,1,1979-03-15,1985-03-15,hiperinflacao,,,,,228.93,,,,4.96989768924738,5.39999999999988,,4161,,,,,,,,,,?/estável,desancorada,,,expansão,série hiperinflacao: números nominais não comparáveis | bolsa sem dado (histórico curto/candidato)
BR-1985-SARNEY,BR,Sarney,1,1985-03-15,1990-03-15,hiperinflacao,,,,228.93,6390.53,6161.6,,,5.39999999999988,3.16000000000032,4161,38.388,-99.08,,18653,,,,,,,?/estável,desancorada,,BRL apreciou,desaceleração,série hiperinflacao: números nominais não comparáveis
BR-1990-COLLOR,BR,Collor,1,1990-03-15,1992-12-29,hiperinflacao,,,,6390.53,1119.1,-5271.43,,,3.16000000000032,-0.544072051030298,38.388,12106.5,31437.2,18653,66348,255.7,,,,,,?/estável,desancorada,,BRL depreciou,entrando em contração,série hiperinflacao: números nominais não comparáveis
BR-1992-ITAMAR,BR,Itamar,1,1992-12-29,1995-01-01,transicao,,,,1119.1,631.54,-487.56,,,-0.544072051030298,5.8528703643893,12106.5,0.846,-99.99,66348,43248,-34.82,,,,,,?/estável,desancorada,,BRL apreciou,recuperação,série transicao: números nominais não comparáveis
BR-1995-FHC1,BR,FHC,1,1995-01-01,1999-01-01,comparavel,,45,,631.54,1.65,-629.89,,43.35,5.8528703643893,0.338097901952338,0.846,1.2087,42.87,43248,6784,-84.31,,28.45,,,,alto/estável,ancorada,,BRL depreciou,desaceleração,
BR-1999-FHC2,BR,FHC,2,1999-01-01,2003-01-01,comparavel,45,25,-20,1.65,14.47,12.82,43.35,10.53,0.338097901952338,3.05346185683619,1.2087,3.5333,192.32,6784,11268,66.1,28.45,25.6,-2.85,,,alto/caindo,desancorada,contração,BRL depreciou,expansão,
BR-2003-LULA1,BR,Lula,1,2003-01-01,2007-01-01,comparavel,25,13.25,-11.75,14.47,2.99,-11.48,10.53,10.26,3.05346185683619,3.96198870899485,3.5333,2.138,-39.49,11268,44473,294.68,25.6,30.33,4.73,,,alto/caindo,ancorada,expansão,BRL apreciou,expansão,
BR-2007-LULA2,BR,Lula,2,2007-01-01,2011-01-01,comparavel,13.25,10.75,-2.5,2.99,5.99,3,10.26,4.76,3.96198870899485,7.52822581812151,2.138,1.6662,-22.07,44473,0,-100,30.33,43.74,13.41,,,alto/caindo,pressionada,expansão,BRL apreciou,expansão,
BR-2011-DILMA1,BR,Dilma,1,2011-01-01,2015-01-01,comparavel,10.75,11.75,1,5.99,7.14,1.15,4.76,4.61,7.52822581812151,0.503955740273241,1.6662,2.6562,59.42,0,50007,Infinity,43.74,52.1,8.36,,6.9,alto/subindo,pressionada,expansão,BRL depreciou,desaceleração,
BR-2015-DILMA2,BR,Dilma,2,2015-01-01,2016-08-31,comparavel,11.75,14.25,2.5,7.14,8.97,1.83,4.61,5.28,0.503955740273241,-3.2759169063211,2.6562,3.2403,21.99,50007,57901,15.79,52.1,50.72,-1.38,6.9,11.9,alto/subindo,desancorada,contração,BRL depreciou,entrando em contração,
